station,o_IO102.csv
                                             
date,time,Hs,Hmax,Tz,Dir,Lw,Hs,Hmax,Lw,Dir,sl_Hs,sl_Tp,sl_Dir,sl_Hs,Dir,Tp
yyyymmdd,hhmmss,m,m,s,deg,m,ft,ft,ft,dir from,m,s,deg,ft,dir,s
20200201,120000,0.28,0.51,3.49,206.9,20.40,0.92,1.66,66.93,SSW,0.27,4.06,210.6,0.89,SSW,4.10
20200201,130000,0.29,0.52,3.56,205.7,21.00,0.94,1.69,68.90,SSW,0.00,0.00,0.0,0.00,-,4.10
20200201,140000,0.29,0.52,3.59,204.2,21.30,0.94,1.70,69.88,SSW,0.00,0.00,0.0,0.00,-,4.00
20200201,150000,0.29,0.52,3.61,202.7,21.50,0.94,1.69,70.54,SSW,0.00,0.00,0.0,0.00,-,4.00
20200201,160000,0.28,0.51,3.64,201.3,21.80,0.94,1.68,71.52,SSW,0.00,0.00,0.0,0.00,-,4.00
20200201,170000,0.28,0.51,3.68,200.1,22.30,0.94,1.68,73.16,SSW,0.00,0.00,0.0,0.00,-,4.00
20200201,180000,0.29,0.52,3.72,198.8,22.70,0.94,1.69,74.48,SSW,0.00,0.00,0.0,0.00,-,4.10
20200201,190000,0.29,0.53,3.75,197.6,23.10,0.96,1.73,75.79,SSW,0.00,0.00,0.0,0.00,-,4.20
20200201,200000,0.32,0.57,3.59,202.5,21.70,1.04,1.87,71.19,SSW,0.30,4.18,195.2,0.98,SSW,4.20
20200201,210000,0.67,1.20,3.07,290.6,15.50,2.19,3.94,50.85,WNW,0.25,4.23,192.9,0.82,SSW,3.10
20200201,220000,0.85,1.53,3.39,300.6,18.90,2.79,5.02,62.01,WNW,0.20,4.30,190.9,0.66,S,3.70
20200201,230000,0.87,1.56,3.49,304.9,20.00,2.85,5.13,65.62,NW,0.16,4.38,188.9,0.52,S,3.70
20200202,000000,0.83,1.50,3.52,305.3,20.50,2.73,4.92,67.26,NW,0.13,4.46,187.1,0.43,S,3.70
20200202,010000,0.80,1.44,3.56,303.8,21.10,2.62,4.71,69.23,NW,0.11,4.53,185.8,0.36,S,3.60
20200202,020000,0.75,1.35,3.51,305.7,20.60,2.46,4.43,67.59,NW,0.09,4.55,184.2,0.30,S,3.50
20200202,030000,0.71,1.28,3.41,308.8,19.40,2.33,4.19,63.65,NW,0.08,4.54,182.5,0.26,S,3.40
20200202,040000,0.68,1.23,3.33,311.5,18.40,2.24,4.03,60.37,NW,0.07,4.54,180.6,0.23,S,3.40
20200202,050000,0.67,1.20,3.27,313.3,17.70,2.18,3.93,58.07,NW,0.06,4.58,178.9,0.20,S,3.40
20200202,060000,0.64,1.15,3.22,314.8,17.20,2.10,3.77,56.43,NW,0.06,4.81,177.5,0.20,S,3.40
20200202,070000,0.61,1.10,3.17,316.7,16.60,2.01,3.62,54.46,NW,0.06,4.92,176.5,0.20,S,3.30
20200202,080000,0.61,1.09,3.13,318.0,16.20,1.98,3.57,53.15,NW,0.06,4.96,175.8,0.20,S,3.30
20200202,090000,0.61,1.09,3.11,317.5,15.90,1.99,3.59,52.17,NW,0.06,4.96,175.2,0.20,S,3.30
20200202,100000,0.64,1.15,3.14,314.3,16.20,2.10,3.77,53.15,NW,0.05,4.94,174.7,0.16,S,3.30
20200202,110000,0.68,1.22,3.19,310.8,16.80,2.22,3.99,55.12,NW,0.00,0.00,0.0,0.00,-,3.40
20200202,120000,0.71,1.27,3.25,309.1,17.40,2.32,4.18,57.09,NW,0.00,0.00,0.0,0.00,-,3.40
20200202,130000,0.73,1.31,3.29,310.5,17.80,2.39,4.31,58.40,NW,0.00,0.00,0.0,0.00,-,3.50
20200202,140000,0.74,1.33,3.30,314.3,17.90,2.42,4.36,58.73,NW,0.00,0.00,0.0,0.00,-,3.50
