station,o_IO101.csv
                                             
date,time,Hs,Hmax,Tz,Dir,Lw,Hs,Hmax,Lw,Dir,sl_Hs,sl_Tp,sl_Dir,sl_Hs,Dir,Tp
yyyymmdd,hhmmss,m,m,s,deg,m,ft,ft,ft,dir from,m,s,deg,ft,dir,s
20200201,120000,0.25,0.45,3.39,205.8,19.10,0.82,1.48,62.66,SSW,0.24,3.92,210.0,0.79,SSW,3.90
20200201,130000,0.26,0.47,3.46,204.6,19.80,0.86,1.55,64.96,SSW,0.25,3.99,207.6,0.82,SSW,4.00
20200201,140000,0.27,0.48,3.50,203.5,20.20,0.88,1.58,66.27,SSW,0.00,0.00,0.0,0.00,-,4.00
20200201,150000,0.27,0.48,3.53,202.2,20.50,0.88,1.58,67.26,SSW,0.00,0.00,0.0,0.00,-,4.00
20200201,160000,0.27,0.48,3.56,200.8,20.70,0.88,1.58,67.91,SSW,0.00,0.00,0.0,0.00,-,4.00
20200201,170000,0.27,0.48,3.59,199.6,21.10,0.87,1.57,69.23,SSW,0.00,0.00,0.0,0.00,-,3.90
20200201,180000,0.27,0.48,3.62,198.5,21.40,0.87,1.57,70.21,SSW,0.00,0.00,0.0,0.00,-,4.00
20200201,190000,0.27,0.48,3.65,197.7,21.80,0.88,1.59,71.52,SSW,0.00,0.00,0.0,0.00,-,4.00
20200201,200000,0.29,0.52,3.51,202.6,20.60,0.95,1.71,67.59,SSW,0.27,4.09,195.7,0.89,SSW,4.10
20200201,210000,0.63,1.13,2.96,292.8,14.40,2.06,3.71,47.24,WNW,0.23,4.17,193.7,0.75,SSW,3.00
20200201,220000,0.72,1.30,3.18,299.1,16.60,2.37,4.26,54.46,WNW,0.20,4.22,191.8,0.66,SSW,3.40
20200201,230000,0.70,1.26,3.18,302.1,16.60,2.29,4.12,54.46,WNW,0.16,4.28,189.6,0.52,S,3.30
20200202,000000,0.67,1.20,3.17,303.5,16.60,2.18,3.93,54.46,WNW,0.13,4.36,187.6,0.43,S,3.30
20200202,010000,0.63,1.13,3.20,305.3,16.90,2.06,3.71,55.45,NW,0.00,0.00,0.0,0.00,-,3.30
20200202,020000,0.59,1.07,3.17,308.0,16.70,1.95,3.50,54.79,NW,0.00,0.00,0.0,0.00,-,3.20
20200202,030000,0.56,1.02,3.10,311.3,15.80,1.85,3.34,51.84,NW,0.00,0.00,0.0,0.00,-,3.10
20200202,040000,0.56,1.00,3.05,313.2,15.30,1.82,3.28,50.20,NW,0.07,4.51,181.9,0.23,S,3.10
20200202,050000,0.54,0.98,3.01,313.1,14.90,1.78,3.21,48.88,NW,0.06,4.52,180.2,0.20,S,3.10
20200202,060000,0.52,0.93,2.97,315.6,14.40,1.70,3.05,47.24,NW,0.06,4.57,178.8,0.20,S,3.00
20200202,070000,0.50,0.91,2.94,317.6,14.10,1.65,2.97,46.26,NW,0.00,0.00,0.0,0.00,-,3.00
20200202,080000,0.50,0.90,2.92,319.0,13.90,1.65,2.96,45.60,NW,0.05,4.92,176.5,0.16,S,3.00
20200202,090000,0.52,0.94,2.94,318.0,14.10,1.71,3.08,46.26,NW,0.05,4.94,175.9,0.16,S,3.00
20200202,100000,0.55,0.98,2.96,315.2,14.30,1.79,3.22,46.92,NW,0.00,0.00,0.0,0.00,-,3.10
20200202,110000,0.58,1.05,3.00,312.2,14.70,1.91,3.43,48.23,NW,0.00,0.00,0.0,0.00,-,3.10
20200202,120000,0.61,1.10,3.04,311.3,15.10,2.00,3.61,49.54,NW,0.00,0.00,0.0,0.00,-,3.20
20200202,130000,0.63,1.14,3.06,313.3,15.30,2.07,3.73,50.20,NW,0.00,0.00,0.0,0.00,-,3.30
20200202,140000,0.64,1.15,3.06,317.2,15.30,2.09,3.76,50.20,NW,0.00,0.00,0.0,0.00,-,3.30
20200202,150000,0.63,1.13,3.04,320.3,15.10,2.06,3.70,49.54,NW,0.00,0.00,0.0,0.00,-,3.20
20200202,160000,0.60,1.08,3.00,322.6,14.70,1.96,3.53,48.23,NW,0.00,0.00,0.0,0.00,-,3.20
20200202,170000,0.58,1.04,2.96,325.2,14.30,1.89,3.41,46.92,NW,0.00,0.00,0.0,0.00,-,3.10
20200202,180000,0.57,1.02,2.95,328.1,14.20,1.86,3.35,46.59,NNW,0.00,0.00,0.0,0.00,-,3.10
20200202,190000,0.56,1.01,2.95,330.8,14.20,1.84,3.31,46.59,NNW,0.00,0.00,0.0,0.00,-,3.10
20200202,200000,0.55,0.98,2.93,334.4,14.00,1.79,3.23,45.93,NNW,0.00,0.00,0.0,0.00,-,3.10
20200202,210000,0.53,0.96,2.92,338.6,13.90,1.75,3.15,45.60,NNW,0.00,0.00,0.0,0.00,-,3.10
20200202,220000,0.53,0.96,2.92,342.1,13.90,1.74,3.14,45.60,NNW,0.00,0.00,0.0,0.00,-,3.10
20200202,230000,0.54,0.98,2.94,343.6,14.10,1.78,3.20,46.26,NNW,0.00,0.00,0.0,0.00,-,3.10
20200203,000000,0.54,0.98,2.93,343.3,14.00,1.78,3.20,45.93,NNW,0.00,0.00,0.0,0.00,-,3.10
20200203,010000,0.55,0.99,2.94,342.2,14.10,1.80,3.24,46.26,NNW,0.00,0.00,0.0,0.00,-,3.10
