station,o_IO109.csv
                                             
date,time,Hs,Hmax,Tz,Dir,Lw,Hs,Hmax,Lw,Dir,sl_Hs,sl_Tp,sl_Dir,sl_Hs,Dir,Tp
yyyymmdd,hhmmss,m,m,s,deg,m,ft,ft,ft,dir from,m,s,deg,ft,dir,s
20200201,120000,0.11,0.19,2.96,308.9,14.40,0.35,0.63,47.24,NW,0.00,0.00,0.0,0.00,-,3.40
20200201,130000,0.10,0.18,2.92,309.1,14.00,0.33,0.60,45.93,NW,0.00,0.00,0.0,0.00,-,3.30
20200201,140000,0.10,0.17,2.88,309.3,13.60,0.32,0.57,44.62,NW,0.00,0.00,0.0,0.00,-,3.30
20200201,150000,0.09,0.17,2.84,309.4,13.20,0.31,0.55,43.31,NW,0.00,0.00,0.0,0.00,-,3.20
20200201,160000,0.09,0.16,2.81,309.5,12.90,0.30,0.53,42.32,NW,0.00,0.00,0.0,0.00,-,3.20
20200201,170000,0.09,0.16,2.79,309.6,12.70,0.29,0.52,41.67,NW,0.00,0.00,0.0,0.00,-,3.20
20200201,180000,0.09,0.15,2.78,309.8,12.60,0.28,0.50,41.34,NW,0.00,0.00,0.0,0.00,-,3.20
20200201,190000,0.08,0.15,2.76,309.9,12.40,0.27,0.49,40.68,NW,0.00,0.00,0.0,0.00,-,3.10
20200201,200000,0.08,0.14,2.73,310.0,12.20,0.26,0.47,40.03,NW,0.00,0.00,0.0,0.00,-,3.00
20200201,210000,0.08,0.14,2.69,310.1,11.80,0.25,0.45,38.71,NW,0.00,0.00,0.0,0.00,-,3.00
20200201,220000,0.07,0.13,2.65,310.2,11.50,0.24,0.44,37.73,NW,0.00,0.00,0.0,0.00,-,3.00
20200201,230000,0.07,0.13,2.62,310.3,11.30,0.24,0.43,37.07,NW,0.00,0.00,0.0,0.00,-,2.90
20200202,000000,0.07,0.13,2.61,310.5,11.10,0.23,0.41,36.42,NW,0.00,0.00,0.0,0.00,-,2.90
20200202,010000,0.07,0.12,2.60,310.6,11.00,0.23,0.41,36.09,NW,0.00,0.00,0.0,0.00,-,2.90
20200202,020000,0.07,0.12,2.58,310.8,10.90,0.22,0.40,35.76,NW,0.00,0.00,0.0,0.00,-,2.90
20200202,030000,0.07,0.12,2.55,310.4,10.70,0.22,0.39,35.10,NW,0.00,0.00,0.0,0.00,-,2.90
20200202,040000,0.07,0.12,2.48,306.7,10.10,0.22,0.39,33.14,NW,0.00,0.00,0.0,0.00,-,2.90
20200202,050000,0.08,0.14,2.24,285.0,8.50,0.26,0.47,27.89,WNW,0.00,0.00,0.0,0.00,-,2.80
20200202,060000,0.12,0.22,1.96,259.9,6.50,0.40,0.71,21.33,W,0.00,0.00,0.0,0.00,-,1.90
20200202,070000,0.21,0.38,2.10,247.7,7.30,0.70,1.26,23.95,WSW,0.15,2.30,225.9,0.49,SW,2.30
20200202,080000,0.28,0.51,2.47,259.4,10.20,0.93,1.67,33.46,W,0.00,0.00,0.0,0.00,-,2.70
20200202,090000,0.46,0.82,2.74,286.8,12.30,1.50,2.70,40.35,WNW,0.00,0.00,0.0,0.00,-,2.80
20200202,100000,0.69,1.25,3.15,299.8,16.30,2.27,4.09,53.48,WNW,0.00,0.00,0.0,0.00,-,3.40
20200202,110000,0.98,1.77,3.77,303.2,23.60,3.22,5.80,77.43,WNW,0.00,0.00,0.0,0.00,-,4.10
20200202,120000,1.29,2.32,4.48,301.2,33.40,4.22,7.60,109.58,WNW,0.00,0.00,0.0,0.00,-,5.00
20200202,130000,1.54,2.77,5.04,302.3,42.30,5.05,9.08,138.78,WNW,0.00,0.00,0.0,0.00,-,5.60
20200202,140000,1.72,3.09,5.41,305.0,48.80,5.63,10.13,160.10,NW,0.00,0.00,0.0,0.00,-,6.10
20200202,150000,1.81,3.25,5.59,307.6,52.10,5.93,10.67,170.93,NW,0.00,0.00,0.0,0.00,-,6.30
20200202,160000,1.86,3.35,5.70,309.3,54.30,6.11,10.99,178.15,NW,0.00,0.00,0.0,0.00,-,6.40
20200202,170000,1.90,3.42,5.80,310.5,56.10,6.23,11.21,184.06,NW,0.00,0.00,0.0,0.00,-,6.60
20200202,180000,1.91,3.45,5.87,311.4,57.50,6.28,11.31,188.65,NW,0.00,0.00,0.0,0.00,-,6.70
20200202,190000,1.92,3.46,5.91,312.2,58.30,6.31,11.36,191.27,NW,0.00,0.00,0.0,0.00,-,6.80
20200202,200000,1.96,3.53,5.94,313.1,59.10,6.43,11.57,193.90,NW,0.00,0.00,0.0,0.00,-,6.80
20200202,210000,2.04,3.67,6.02,314.2,60.70,6.70,12.05,199.15,NW,0.00,0.00,0.0,0.00,-,6.80
20200202,220000,2.15,3.88,6.15,315.5,63.00,7.07,12.73,206.69,NW,0.00,0.00,0.0,0.00,-,6.90
20200202,230000,2.28,4.11,6.28,317.0,65.80,7.49,13.48,215.88,NW,0.00,0.00,0.0,0.00,-,7.10
