station,o_IO103.csv
                                             
date,time,Hs,Hmax,Tz,Dir,Lw,Hs,Hmax,Lw,Dir,sl_Hs,sl_Tp,sl_Dir,sl_Hs,Dir,Tp
yyyymmdd,hhmmss,m,m,s,deg,m,ft,ft,ft,dir from,m,s,deg,ft,dir,s
20200201,120000,0.40,0.72,3.68,183.6,22.40,1.31,2.35,73.49,S,0.00,0.00,0.0,0.00,-,4.10
20200201,130000,0.40,0.71,3.71,181.5,22.70,1.30,2.34,74.48,S,0.00,0.00,0.0,0.00,-,4.10
20200201,140000,0.39,0.71,3.74,179.1,23.00,1.29,2.33,75.46,S,0.00,0.00,0.0,0.00,-,4.10
20200201,150000,0.39,0.71,3.77,176.6,23.40,1.29,2.32,76.77,S,0.00,0.00,0.0,0.00,-,4.10
20200201,160000,0.39,0.70,3.78,174.4,23.50,1.28,2.31,77.10,S,0.00,0.00,0.0,0.00,-,4.10
20200201,170000,0.40,0.71,3.65,174.8,22.40,1.30,2.34,73.49,S,0.38,4.13,172.6,1.25,S,4.10
20200201,180000,0.59,1.07,3.16,268.0,16.70,1.95,3.50,54.79,W,0.34,4.14,170.4,1.12,S,3.10
20200201,190000,0.81,1.45,3.44,293.2,19.50,2.64,4.75,63.98,WNW,0.29,4.16,168.6,0.95,SSE,3.80
20200201,200000,1.00,1.80,3.80,299.6,23.90,3.28,5.91,78.41,WNW,0.23,4.19,167.4,0.75,SSE,4.20
20200201,210000,1.16,2.09,4.16,301.6,28.70,3.80,6.84,94.16,WNW,0.19,4.20,166.1,0.62,SSE,4.60
20200201,220000,1.32,2.37,4.50,303.0,33.60,4.31,7.77,110.24,WNW,0.15,4.21,164.2,0.49,SSE,5.00
20200201,230000,1.40,2.51,4.69,306.7,36.50,4.58,8.25,119.75,NW,0.12,4.25,162.1,0.39,SSE,5.20
20200202,000000,1.38,2.48,4.72,310.8,36.90,4.52,8.14,121.06,NW,0.11,4.36,161.1,0.36,SSE,5.20
20200202,010000,1.31,2.35,4.65,314.7,35.90,4.28,7.71,117.78,NW,0.10,4.81,161.2,0.33,SSE,5.10
20200202,020000,1.21,2.18,4.54,318.6,34.20,3.97,7.15,112.20,NW,0.10,4.90,161.6,0.33,SSE,5.00
20200202,030000,1.12,2.02,4.42,322.4,32.30,3.68,6.63,105.97,NW,0.10,4.95,161.7,0.33,SSE,4.90
20200202,040000,1.05,1.89,4.30,325.6,30.70,3.44,6.19,100.72,NW,0.09,4.96,161.7,0.30,SSE,4.80
20200202,050000,0.99,1.78,4.20,328.1,29.20,3.25,5.85,95.80,NNW,0.09,4.93,161.6,0.30,SSE,4.60
20200202,060000,0.94,1.68,4.11,330.5,27.90,3.07,5.53,91.54,NNW,0.08,4.89,161.3,0.26,SSE,4.50
20200202,070000,0.88,1.59,4.02,332.5,26.80,2.90,5.23,87.93,NNW,0.07,4.85,160.8,0.23,SSE,4.50
20200202,080000,0.84,1.52,3.93,333.5,25.60,2.77,4.98,83.99,NNW,0.06,4.83,159.9,0.20,SSE,4.40
20200202,090000,0.81,1.46,3.84,333.4,24.50,2.67,4.80,80.38,NNW,0.06,4.86,158.6,0.20,SSE,4.20
20200202,100000,0.79,1.42,3.76,332.9,23.40,2.60,4.67,76.77,NNW,0.05,4.88,157.0,0.16,SSE,4.10
20200202,110000,0.77,1.39,3.69,332.5,22.60,2.54,4.57,74.15,NNW,0.05,4.88,155.3,0.16,SSE,4.10
20200202,120000,0.76,1.36,3.64,332.7,21.90,2.48,4.47,71.85,NNW,0.00,0.00,0.0,0.00,-,4.10
20200202,130000,0.73,1.32,3.58,333.7,21.30,2.40,4.33,69.88,NNW,0.00,0.00,0.0,0.00,-,4.00
20200202,140000,0.70,1.25,3.53,335.7,20.70,2.28,4.11,67.91,NNW,0.00,0.00,0.0,0.00,-,3.90
20200202,150000,0.64,1.16,3.47,339.3,20.10,2.12,3.81,65.94,NNW,0.00,0.00,0.0,0.00,-,3.80
20200202,160000,0.57,1.03,3.44,345.2,19.80,1.87,3.37,64.96,NNW,0.00,0.00,0.0,0.00,-,3.90
20200202,170000,0.51,0.92,3.43,351.6,19.70,1.67,3.01,64.63,N,0.00,0.00,0.0,0.00,-,4.00
20200202,180000,0.46,0.84,3.42,356.7,19.70,1.52,2.74,64.63,N,0.00,0.00,0.0,0.00,-,4.00
20200202,190000,0.44,0.78,3.40,0.6,19.50,1.43,2.57,63.98,N,0.00,0.00,0.0,0.00,-,4.00
20200202,200000,0.46,0.82,3.37,4.7,19.20,1.50,2.70,62.99,N,0.00,0.00,0.0,0.00,-,4.00
20200202,210000,0.54,0.96,3.49,10.7,20.60,1.76,3.16,67.59,N,0.00,0.00,0.0,0.00,-,4.10
20200202,220000,0.61,1.10,3.62,12.7,22.00,2.01,3.62,72.18,NNE,0.00,0.00,0.0,0.00,-,4.10
20200202,230000,0.66,1.18,3.68,11.2,22.80,2.16,3.88,74.80,N,0.00,0.00,0.0,0.00,-,4.20
20200203,000000,0.68,1.22,3.71,9.5,23.30,2.23,4.02,76.44,N,0.00,0.00,0.0,0.00,-,4.20
20200203,010000,0.71,1.28,3.73,7.6,23.50,2.33,4.20,77.10,N,0.00,0.00,0.0,0.00,-,4.20
20200203,020000,0.75,1.36,3.77,6.3,23.80,2.47,4.45,78.08,N,0.00,0.00,0.0,0.00,-,4.20
20200203,030000,0.80,1.44,3.82,5.4,24.40,2.62,4.72,80.05,N,0.00,0.00,0.0,0.00,-,4.20
20200203,040000,0.83,1.50,3.88,4.4,25.10,2.74,4.93,82.35,N,0.00,0.00,0.0,0.00,-,4.30
20200203,050000,0.86,1.55,3.92,3.0,25.70,2.82,5.08,84.32,N,0.00,0.00,0.0,0.00,-,4.40
20200203,060000,0.89,1.59,3.97,0.9,26.20,2.91,5.23,85.96,N,0.00,0.00,0.0,0.00,-,4.50
20200203,070000,0.90,1.63,4.01,357.8,26.70,2.96,5.33,87.60,N,0.00,0.00,0.0,0.00,-,4.50
20200203,080000,0.90,1.62,4.01,354.0,26.70,2.96,5.33,87.60,N,0.00,0.00,0.0,0.00,-,4.50
20200203,090000,0.89,1.61,3.98,349.8,26.40,2.94,5.29,86.61,N,0.00,0.00,0.0,0.00,-,4.50
20200203,100000,0.89,1.60,3.95,345.6,26.00,2.91,5.24,85.30,NNW,0.00,0.00,0.0,0.00,-,4.40
20200203,110000,0.88,1.58,3.92,342.0,25.60,2.88,5.19,83.99,NNW,0.00,0.00,0.0,0.00,-,4.40
20200203,120000,0.86,1.54,3.88,339.3,25.10,2.81,5.06,82.35,NNW,0.00,0.00,0.0,0.00,-,4.40
20200203,130000,0.82,1.48,3.82,336.9,24.30,2.69,4.84,79.72,NNW,0.00,0.00,0.0,0.00,-,4.20
20200203,140000,0.77,1.39,3.73,334.4,23.20,2.54,4.57,76.12,NNW,0.00,0.00,0.0,0.00,-,4.10
20200203,150000,0.72,1.30,3.64,332.2,22.10,2.37,4.26,72.51,NNW,0.00,0.00,0.0,0.00,-,4.10
20200203,160000,0.67,1.21,3.54,330.5,20.90,2.20,3.96,68.57,NNW,0.00,0.00,0.0,0.00,-,4.00
20200203,170000,0.63,1.13,3.45,329.6,19.80,2.05,3.70,64.96,NNW,0.00,0.00,0.0,0.00,-,3.80
20200203,180000,0.59,1.06,3.36,329.6,18.90,1.94,3.49,62.01,NNW,0.00,0.00,0.0,0.00,-,3.70
20200203,190000,0.57,1.03,3.29,330.2,18.00,1.88,3.38,59.06,NNW,0.00,0.00,0.0,0.00,-,3.70
20200203,200000,0.60,1.07,3.30,333.0,18.10,1.96,3.53,59.38,NNW,0.00,0.00,0.0,0.00,-,3.70
20200203,210000,0.66,1.18,3.40,336.6,19.20,2.15,3.87,62.99,NNW,0.00,0.00,0.0,0.00,-,3.70
20200203,220000,0.71,1.27,3.50,338.0,20.40,2.32,4.18,66.93,NNW,0.00,0.00,0.0,0.00,-,3.90
20200203,230000,0.73,1.32,3.58,337.8,21.30,2.40,4.32,69.88,NNW,0.00,0.00,0.0,0.00,-,4.00
20200204,000000,0.73,1.32,3.61,336.7,21.70,2.40,4.33,71.19,NNW,0.00,0.00,0.0,0.00,-,4.10
20200204,010000,0.72,1.29,3.61,334.8,21.70,2.36,4.24,71.19,NNW,0.00,0.00,0.0,0.00,-,4.10
20200204,020000,0.69,1.25,3.60,332.6,21.50,2.27,4.09,70.54,NNW,0.00,0.00,0.0,0.00,-,4.00
20200204,030000,0.63,1.14,3.61,330.0,21.60,2.07,3.73,70.87,NNW,0.00,0.00,0.0,0.00,-,4.00
20200204,040000,0.57,1.03,3.62,327.9,21.70,1.89,3.40,71.19,NNW,0.15,4.09,27.3,0.49,NNE,4.00
20200204,050000,0.53,0.96,3.58,328.2,21.20,1.74,3.14,69.55,NNW,0.00,0.00,0.0,0.00,-,4.00
20200204,060000,0.49,0.88,3.51,330.4,20.30,1.60,2.88,66.60,NNW,0.20,4.03,28.6,0.66,NNE,3.90
20200204,070000,0.45,0.80,3.41,332.9,19.10,1.47,2.64,62.66,NNW,0.20,3.98,28.7,0.66,NNE,3.80
20200204,080000,0.41,0.74,3.28,334.9,17.80,1.34,2.42,58.40,NNW,0.20,3.94,28.2,0.66,NNE,3.70
20200204,090000,0.38,0.68,3.13,336.1,16.30,1.24,2.24,53.48,NNW,0.00,0.00,0.0,0.00,-,3.60
20200204,100000,0.35,0.64,2.98,336.5,14.80,1.16,2.10,48.56,NNW,0.19,3.55,25.8,0.62,NNE,3.40
20200204,110000,0.33,0.60,2.87,337.2,13.60,1.10,1.97,44.62,NNW,0.10,3.42,277.7,0.33,W,3.20
20200204,120000,0.31,0.57,2.79,338.8,12.80,1.03,1.85,41.99,NNW,0.00,0.00,0.0,0.00,-,3.00
20200204,130000,0.30,0.54,2.73,341.3,12.20,0.98,1.76,40.03,NNW,0.00,0.00,0.0,0.00,-,3.00
20200204,140000,0.28,0.51,2.69,344.3,11.80,0.93,1.67,38.71,NNW,0.00,0.00,0.0,0.00,-,2.90
20200204,150000,0.26,0.47,2.66,347.1,11.50,0.85,1.54,37.73,NNW,0.12,2.75,301.8,0.39,WNW,2.80
20200204,160000,0.23,0.42,2.65,348.3,11.50,0.76,1.37,37.73,NNW,0.11,2.73,300.9,0.36,WNW,2.70
20200204,170000,0.21,0.37,2.63,348.9,11.30,0.68,1.23,37.07,N,0.13,2.73,21.3,0.43,NNE,2.70
20200204,180000,0.19,0.34,2.58,348.9,10.80,0.61,1.10,35.43,N,0.00,0.00,0.0,0.00,-,2.70
20200204,190000,0.17,0.31,2.50,348.1,10.20,0.56,1.00,33.46,NNW,0.00,0.00,0.0,0.00,-,2.60
20200204,200000,0.15,0.28,2.42,347.4,9.50,0.50,0.90,31.17,NNW,0.00,0.00,0.0,0.00,-,2.50
20200204,210000,0.14,0.25,2.32,346.5,8.80,0.45,0.81,28.87,NNW,0.07,2.48,24.0,0.23,NNE,2.50
20200204,220000,0.14,0.24,2.18,344.9,7.70,0.45,0.80,25.26,NNW,0.00,0.00,0.0,0.00,-,2.40
20200204,230000,0.26,0.48,2.00,350.5,6.60,0.87,1.56,21.65,N,0.00,0.00,0.0,0.00,-,2.20
20200205,000000,0.50,0.90,2.82,359.8,12.90,1.65,2.96,42.32,N,0.00,0.00,0.0,0.00,-,3.00
20200205,010000,0.62,1.11,3.09,3.6,15.70,2.03,3.66,51.51,N,0.00,0.00,0.0,0.00,-,3.30
20200205,020000,0.65,1.17,3.24,7.5,17.30,2.13,3.84,56.76,N,0.00,0.00,0.0,0.00,-,3.50
